row,col,entry_date,geometry,centroid,CH4
15,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113403637,39.498056053],[9.17737071,39.497976067],[9.177290621,39.466439087],[9.113352431,39.466518983],[9.113403637,39.498056053]]]}","{""type"":""Point"",""coordinates"":[9.145354343,39.482248735]}",1913.2301025390625
15,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113403637,39.498056053],[9.17737071,39.497976067],[9.177290621,39.466439087],[9.113352431,39.466518983],[9.113403637,39.498056053]]]}","{""type"":""Point"",""coordinates"":[9.145354343,39.482248735]}",1913.2301025390625
15,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113403637,39.498056053],[9.17737071,39.497976067],[9.177290621,39.466439087],[9.113352431,39.466518983],[9.113403637,39.498056053]]]}","{""type"":""Point"",""coordinates"":[9.145354343,39.482248735]}",1913.2301025390625
15,9,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113403637,39.498056053],[9.17737071,39.497976067],[9.177290621,39.466439087],[9.113352431,39.466518983],[9.113403637,39.498056053]]]}","{""type"":""Point"",""coordinates"":[9.145354343,39.482248735]}",1913.2301025390625
16,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113352431,39.466518983],[9.177290621,39.466439087],[9.177210658,39.434901935],[9.113301306,39.434981742],[9.113352431,39.466518983]]]}","{""type"":""Point"",""coordinates"":[9.145288747,39.450711623]}",1918.6866455078125
16,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113352431,39.466518983],[9.177290621,39.466439087],[9.177210658,39.434901935],[9.113301306,39.434981742],[9.113352431,39.466518983]]]}","{""type"":""Point"",""coordinates"":[9.145288747,39.450711623]}",1918.6866455078125
16,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113352431,39.466518983],[9.177290621,39.466439087],[9.177210658,39.434901935],[9.113301306,39.434981742],[9.113352431,39.466518983]]]}","{""type"":""Point"",""coordinates"":[9.145288747,39.450711623]}",1918.6866455078125
16,9,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113352431,39.466518983],[9.177290621,39.466439087],[9.177210658,39.434901935],[9.113301306,39.434981742],[9.113352431,39.466518983]]]}","{""type"":""Point"",""coordinates"":[9.145288747,39.450711623]}",1918.6866455078125
17,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113301306,39.434981742],[9.177210658,39.434901935],[9.17713082,39.403364611],[9.113250261,39.40344433],[9.113301306,39.434981742]]]}","{""type"":""Point"",""coordinates"":[9.145223255,39.419174339]}",1918.6866455078125
17,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113301306,39.434981742],[9.177210658,39.434901935],[9.17713082,39.403364611],[9.113250261,39.40344433],[9.113301306,39.434981742]]]}","{""type"":""Point"",""coordinates"":[9.145223255,39.419174339]}",1918.6866455078125
17,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113301306,39.434981742],[9.177210658,39.434901935],[9.17713082,39.403364611],[9.113250261,39.40344433],[9.113301306,39.434981742]]]}","{""type"":""Point"",""coordinates"":[9.145223255,39.419174339]}",1918.6866455078125
17,9,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113301306,39.434981742],[9.177210658,39.434901935],[9.17713082,39.403364611],[9.113250261,39.40344433],[9.113301306,39.434981742]]]}","{""type"":""Point"",""coordinates"":[9.145223255,39.419174339]}",1918.6866455078125
18,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113250261,39.40344433],[9.17713082,39.403364611],[9.177051108,39.371827116],[9.113199296,39.371906746],[9.113250261,39.40344433]]]}","{""type"":""Point"",""coordinates"":[9.145157865,39.387636884]}",1920.958251953125
18,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113250261,39.40344433],[9.17713082,39.403364611],[9.177051108,39.371827116],[9.113199296,39.371906746],[9.113250261,39.40344433]]]}","{""type"":""Point"",""coordinates"":[9.145157865,39.387636884]}",1920.958251953125
18,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113250261,39.40344433],[9.17713082,39.403364611],[9.177051108,39.371827116],[9.113199296,39.371906746],[9.113250261,39.40344433]]]}","{""type"":""Point"",""coordinates"":[9.145157865,39.387636884]}",1920.958251953125
18,9,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113250261,39.40344433],[9.17713082,39.403364611],[9.177051108,39.371827116],[9.113199296,39.371906746],[9.113250261,39.40344433]]]}","{""type"":""Point"",""coordinates"":[9.145157865,39.387636884]}",1920.958251953125
19,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113199296,39.371906746],[9.177051108,39.371827116],[9.176971521,39.340289449],[9.113148411,39.34036899],[9.113199296,39.371906746]]]}","{""type"":""Point"",""coordinates"":[9.145092577,39.356099257]}",1920.958251953125
19,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113199296,39.371906746],[9.177051108,39.371827116],[9.176971521,39.340289449],[9.113148411,39.34036899],[9.113199296,39.371906746]]]}","{""type"":""Point"",""coordinates"":[9.145092577,39.356099257]}",1920.958251953125
19,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113199296,39.371906746],[9.177051108,39.371827116],[9.176971521,39.340289449],[9.113148411,39.34036899],[9.113199296,39.371906746]]]}","{""type"":""Point"",""coordinates"":[9.145092577,39.356099257]}",1920.958251953125
19,9,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113199296,39.371906746],[9.177051108,39.371827116],[9.176971521,39.340289449],[9.113148411,39.34036899],[9.113199296,39.371906746]]]}","{""type"":""Point"",""coordinates"":[9.145092577,39.356099257]}",1920.958251953125
20,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113148411,39.34036899],[9.176971521,39.340289449],[9.176892058,39.308751611],[9.113097605,39.308831063],[9.113148411,39.34036899]]]}","{""type"":""Point"",""coordinates"":[9.145027392,39.324561459]}",1919.278076171875
20,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113148411,39.34036899],[9.176971521,39.340289449],[9.176892058,39.308751611],[9.113097605,39.308831063],[9.113148411,39.34036899]]]}","{""type"":""Point"",""coordinates"":[9.145027392,39.324561459]}",1919.278076171875
20,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113148411,39.34036899],[9.176971521,39.340289449],[9.176892058,39.308751611],[9.113097605,39.308831063],[9.113148411,39.34036899]]]}","{""type"":""Point"",""coordinates"":[9.145027392,39.324561459]}",1919.278076171875
21,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113097605,39.308831063],[9.176892058,39.308751611],[9.176812721,39.277213601],[9.11304688,39.277292965],[9.113097605,39.308831063]]]}","{""type"":""Point"",""coordinates"":[9.144962309,39.293023489]}",1931.81982421875
21,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113097605,39.308831063],[9.176892058,39.308751611],[9.176812721,39.277213601],[9.11304688,39.277292965],[9.113097605,39.308831063]]]}","{""type"":""Point"",""coordinates"":[9.144962309,39.293023489]}",1931.81982421875
21,9,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.113097605,39.308831063],[9.176892058,39.308751611],[9.176812721,39.277213601],[9.11304688,39.277292965],[9.113097605,39.308831063]]]}","{""type"":""Point"",""coordinates"":[9.144962309,39.293023489]}",1931.81982421875
22,9,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.11304688,39.277292965],[9.176812721,39.277213601],[9.176733507,39.24567542],[9.112996234,39.245754695],[9.11304688,39.277292965]]]}","{""type"":""Point"",""coordinates"":[9.144897329,39.261485348]}",1931.81982421875
22,9,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.11304688,39.277292965],[9.176812721,39.277213601],[9.176733507,39.24567542],[9.112996234,39.245754695],[9.11304688,39.277292965]]]}","{""type"":""Point"",""coordinates"":[9.144897329,39.261485348]}",1931.81982421875
22,11,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240578254,39.27709932],[9.304343369,39.276950122],[9.304207023,39.245412234],[9.240470474,39.245561266],[9.240578254,39.27709932]]]}","{""type"":""Point"",""coordinates"":[9.272399768,39.261256913]}",1930.058837890625
23,11,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240470474,39.245561266],[9.304207023,39.245412234],[9.304070891,39.213874176],[9.240362863,39.214023041],[9.240470474,39.245561266]]]}","{""type"":""Point"",""coordinates"":[9.272277801,39.229718856]}",1922.7413330078125
23,11,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240470474,39.245561266],[9.304207023,39.245412234],[9.304070891,39.213874176],[9.240362863,39.214023041],[9.240470474,39.245561266]]]}","{""type"":""Point"",""coordinates"":[9.272277801,39.229718856]}",1922.7413330078125
23,11,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240470474,39.245561266],[9.304207023,39.245412234],[9.304070891,39.213874176],[9.240362863,39.214023041],[9.240470474,39.245561266]]]}","{""type"":""Point"",""coordinates"":[9.272277801,39.229718856]}",1922.7413330078125
24,6,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-11T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-12T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,6,2024-09-13T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921818682,39.214244772],[8.985527689,39.214270106],[8.985534158,39.182731434],[8.921853629,39.182706127],[8.921818682,39.214244772]]]}","{""type"":""Point"",""coordinates"":[8.953683541,39.198489285]}",1902.271240234375
24,11,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240362863,39.214023041],[9.304070891,39.213874176],[9.303934972,39.182335945],[9.240255421,39.182484644],[9.240362863,39.214023041]]]}","{""type"":""Point"",""coordinates"":[9.272156024,39.198180627]}",1890.0313720703125
24,11,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240362863,39.214023041],[9.304070891,39.213874176],[9.303934972,39.182335945],[9.240255421,39.182484644],[9.240362863,39.214023041]]]}","{""type"":""Point"",""coordinates"":[9.272156024,39.198180627]}",1890.0313720703125
24,11,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.240362863,39.214023041],[9.304070891,39.213874176],[9.303934972,39.182335945],[9.240255421,39.182484644],[9.240362863,39.214023041]]]}","{""type"":""Point"",""coordinates"":[9.272156024,39.198180627]}",1890.0313720703125
24,12,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.304070891,39.213874176],[9.367778392,39.213690471],[9.367613997,39.182152446],[9.303934972,39.182335945],[9.304070891,39.213874176]]]}","{""type"":""Point"",""coordinates"":[9.335849548,39.198014434]}",1890.0313720703125
24,12,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.304070891,39.213874176],[9.367778392,39.213690471],[9.367613997,39.182152446],[9.303934972,39.182335945],[9.304070891,39.213874176]]]}","{""type"":""Point"",""coordinates"":[9.335849548,39.198014434]}",1890.0313720703125
24,12,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[9.304070891,39.213874176],[9.367778392,39.213690471],[9.367613997,39.182152446],[9.303934972,39.182335945],[9.304070891,39.213874176]]]}","{""type"":""Point"",""coordinates"":[9.335849548,39.198014434]}",1890.0313720703125
