row,col,entry_date,geometry,centroid,CH4,CO,HCHO,NO2,O3,SO2
15,5,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1931.0787353515625,0.0330158434808254,0.0003137240128125,2.294747537234798e-05,0.1354624629020691,0.0004746121412608
15,5,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1931.0787353515625,0.029585326090455,0.0001466458343202,2.1286174160195515e-05,0.1308832168579101,-0.0001456771133234
15,5,2024-09-09T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0295866150408983,0.0003816140815615,3.186791218467988e-05,0.1265039145946502,-0.0002425856218906
15,5,2024-09-10T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0312357638031244,-3.945096250390634e-05,1.56947789946571e-05,0.1392955780029297,0.0005702321068383
15,5,2024-09-11T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0362689681351184,0.0001071926963049,-3.536027577411005e-07,0.1408203691244125,-0.0002965948078781
15,5,2024-09-12T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0350512117147445,0.0001131112294388,2.822078386088833e-05,0.1418156176805496,-0.000147657978232
15,5,2024-09-13T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0350512117147445,0.0001131112294388,2.822078386088833e-05,0.1435020416975021,-0.000147657978232
15,5,2024-09-14T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0295372102409601,0.0002743537188507,1.625475488253869e-05,0.1400327086448669,-0.0006256544147618
15,5,2024-09-15T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0288064666092395,0.0001853077119449,2.8816924896091223e-05,0.1442068070173263,-0.0001295039546675
15,5,2024-09-16T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0288064666092395,,,,
15,5,2024-09-17T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,0.0288064666092395,,,,
15,5,2024-09-18T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,,,,,
15,5,2024-09-19T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,,,,,
15,5,2024-09-20T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,,,,,
15,5,2024-09-21T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.857534478,39.498024076],[8.921501673,39.498084858],[8.921537118,39.466547756],[8.857598806,39.466487042],[8.857534478,39.498024076]]]}","{""type"":""Point"",""coordinates"":[8.889543024,39.48228712]}",1923.20068359375,,,,,
15,6,2024-09-07T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921501673,39.498084858],[8.985469007,39.498110448],[8.985475568,39.466573318],[8.921537118,39.466547756],[8.921501673,39.498084858]]]}","{""type"":""Point"",""coordinates"":[8.953495844,39.482330282]}",1909.0196533203125,0.0345595404505729,-2.1495043256436475e-05,1.702712324913591e-05,0.1366487592458725,-0.0001113331818487
15,6,2024-09-08T00:00:00+00:00,"{""type"":""Polygon"",""coordinates"":[[[8.921501673,39.498084858],[8.985469007,39.498110448],[8.985475568,39.466573318],[8.921537118,39.466547756],[8.921501673,39.498084858]]]}","{""type"":""Point"",""coordinates"":[8.953495844,39.482330282]}",1909.0196533203125,0.031387835741043,2.6475576305529103e-05,3.6760906368726864e-05,0.1317264139652252,-0.0002602747408673
